unknown
"LENOVO, Lenovo A850"
"Lenovo, Lenovo A889"
"Apple, iPhone7,2"
"samsung, SM-N9005"
"Apple, iPhone5,2"
"LENOVO, Lenovo A850+"
"Apple, iPhone6,2"
"asus, ASUS_T00J"
"samsung, GT-N7100"
